BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
19033    19913    18920    15       -9.2100000000e+02    -1.3400069649e+03    45.49       158.8 
19140    20020    19027    18       -9.2100000000e+02    -1.3397561139e+03    45.47       160.1 
19247    20127    19134    16       -9.2100000000e+02    -1.3390868194e+03    45.39       161.7 
19354    20234    19241    23       -9.2100000000e+02    -1.3387005349e+03    45.35       163.0 
19461    20341    19348    19       -9.2100000000e+02    -1.3381547121e+03    45.29       164.2 
19568    20448    19455    7        -9.2100000000e+02    -1.3374953520e+03    45.22       165.5 
19673    20554    19560    26       -9.2100000000e+02    -1.3371523981e+03    45.18       166.8 
19772    20659    19659    6        -9.2100000000e+02    -1.3360763576e+03    45.07       168.0 
19873    20765    19760    15       -9.2100000000e+02    -1.3357809295e+03    45.04       169.2 
19968    20870    19853    22       -9.2100000000e+02    -1.3336390083e+03    44.80       170.5 
20067    20975    19942    21       -9.2100000000e+02    -1.3333669973e+03    44.77       171.8 
20160    21079    20035    9        -9.2100000000e+02    -1.3320027472e+03    44.63       173.1 
20254    21184    20129    16       -9.2100000000e+02    -1.3311818763e+03    44.54       174.4 
20351    21287    20218    20       -9.2100000000e+02    -1.3306972837e+03    44.48       175.6 
20449    21388    20300    28       -9.2100000000e+02    -1.3300889344e+03    44.42       176.9 
20542    21491    20393    21       -9.2100000000e+02    -1.3293898314e+03    44.34       178.1 
20636    21596    20487    15       -9.2100000000e+02    -1.3291992479e+03    44.32       179.4 
20730    21701    20581    27       -9.2100000000e+02    -1.3290686593e+03    44.31       180.6 
20822    21803    20673    23       -9.2100000000e+02    -1.3284122918e+03    44.24       181.9 
20916    21908    20767    21       -9.2100000000e+02    -1.3277745516e+03    44.17       183.1 
21010    22013    20861    16       -9.2100000000e+02    -1.3272981874e+03    44.11       184.4 
21104    22118    20955    16       -9.2100000000e+02    -1.3268271004e+03    44.06       185.7 
21198    22223    21049    15       -9.2100000000e+02    -1.3267257498e+03    44.05       187.0 
21292    22328    21143    23       -9.2100000000e+02    -1.3259669302e+03    43.97       188.2 
21386    22433    21237    19       -9.2100000000e+02    -1.3257486856e+03    43.95       189.5 
21480    22538    21331    27       -9.2100000000e+02    -1.3256321357e+03    43.93       190.8 
21574    22643    21425    14       -9.2100000000e+02    -1.3255175644e+03    43.92       192.0 
21668    22748    21519    16       -9.2100000000e+02    -1.3252720788e+03    43.89       193.3 
21761    22851    21612    24       -9.2100000000e+02    -1.3250677484e+03    43.87       194.5 
21855    22956    21706    11       -9.2100000000e+02    -1.3241991996e+03    43.78       195.8 
21949    23061    21800    13       -9.2100000000e+02    -1.3238803322e+03    43.74       197.1 
22043    23166    21894    21       -9.2100000000e+02    -1.3237470889e+03    43.73       198.3 
22137    23271    21988    20       -9.2100000000e+02    -1.3227976068e+03    43.63       199.6 
22226    23370    22077    26       -9.2100000000e+02    -1.3225662062e+03    43.60       200.9 
22320    23475    22171    22       -9.2100000000e+02    -1.3223208680e+03    43.57       202.1 
22414    23580    22265    17       -9.2100000000e+02    -1.3220743253e+03    43.55       203.4 
22508    23685    22359    24       -9.2100000000e+02    -1.3219663430e+03    43.54       204.6 
22602    23790    22453    27       -9.2100000000e+02    -1.3212023296e+03    43.45       205.9 
22696    23895    22547    16       -9.2100000000e+02    -1.3212023295e+03    43.45       207.1 
22790    24000    22641    23       -9.2100000000e+02    -1.3212023295e+03    43.45       208.4 
22884    24105    22735    15       -9.2100000000e+02    -1.3209371175e+03    43.42       209.7 
22978    24210    22829    21       -9.2100000000e+02    -1.3203292338e+03    43.36       210.9 
23072    24315    22923    18       -9.2100000000e+02    -1.3201151213e+03    43.33       212.2 
23166    24420    23017    21       -9.2100000000e+02    -1.3190562650e+03    43.22       213.5 
23260    24525    23111    30       -9.2100000000e+02    -1.3189778071e+03    43.21       214.7 
23354    24630    23205    10       -9.2100000000e+02    -1.3180290714e+03    43.11       216.0 
23448    24735    23299    20       -9.2100000000e+02    -1.3178632463e+03    43.09       217.2 
23542    24840    23393    7        -9.2100000000e+02    -1.3173656000e+03    43.04       218.5 
23636    24945    23487    20       -9.2100000000e+02    -1.3173655973e+03    43.04       219.9 
23730    25050    23581    13       -9.2100000000e+02    -1.3173068878e+03    43.03       221.1 
23823    25153    23674    16       -9.2100000000e+02    -1.3169569432e+03    42.99       222.3 
23917    25258    23768    17       -9.2100000000e+02    -1.3165461248e+03    42.95       223.7 
24011    25363    23862    28       -9.2100000000e+02    -1.3158909215e+03    42.88       225.0 
24101    25463    23952    24       -9.2100000000e+02    -1.3158909200e+03    42.88       226.3 
24195    25568    24046    27       -9.2100000000e+02    -1.3158109035e+03    42.87       227.5 
24289    25673    24140    26       -9.2100000000e+02    -1.3155313820e+03    42.84       228.8 
24383    25778    24234    17       -9.2100000000e+02    -1.3150931272e+03    42.79       230.1 
24477    25883    24328    13       -9.2100000000e+02    -1.3150323645e+03    42.78       231.3 
24571    25988    24422    18       -9.2100000000e+02    -1.3148037069e+03    42.76       232.7 
24663    26090    24514    19       -9.2100000000e+02    -1.3143001179e+03    42.70       233.9 
24757    26195    24608    24       -9.2100000000e+02    -1.3140727479e+03    42.68       235.1 
24851    26300    24702    11       -9.2100000000e+02    -1.3133866147e+03    42.60       236.4 
24945    26405    24796    20       -9.2100000000e+02    -1.3130556943e+03    42.57       237.7 
25039    26510    24890    14       -9.2100000000e+02    -1.3128970665e+03    42.55       239.0 
25133    26615    24984    9        -9.2100000000e+02    -1.3128970662e+03    42.55       240.4 
25227    26720    25078    16       -9.2100000000e+02    -1.3128857392e+03    42.55       241.7 
